tienda_id,sku,talla,ventas_totales,inventario_promedio,inventario_final,inventario_inicial,n_dias,ventas_diarias,rotacion,dias_inventario,sell_through_pct,cobertura_dias,alerta_quiebre,alerta_sobrestock
1,1001,L,383,68.9726,63,57,365,1.0493,5.5529,60.0392,0.4679,60.0392,False,False
1,1001,M,726,4.2822,1,3,365,1.989,26.0,0.5028,1.0,0.5028,True,False
1,1001,S,737,4.4959,9,6,365,2.0192,26.0,4.4573,1.0,4.4573,True,False
1,1001,XL,729,4.4192,4,10,365,1.9973,26.0,2.0027,1.0,2.0027,True,False
1,1001,XXL,720,4.5562,6,6,365,1.9726,26.0,3.0417,1.0,3.0417,True,False
1,1002,M,367,69.0658,75,65,365,1.0055,5.3138,74.5913,0.4153,74.5913,False,False
1,1002,S,749,4.6603,5,9,365,2.0521,26.0,2.4366,1.0,2.4366,True,False
1,1002,XL,363,68.1616,71,80,365,0.9945,5.3256,71.3912,0.4501,71.3912,False,False
1,1002,XXL,366,68.3342,65,85,365,1.0027,5.356,64.8224,0.3982,64.8224,False,False
1,1003,M,74,124.4466,124,114,365,0.2027,0.5946,365.0,0.0559,365.0,False,True
1,1003,XL,365,68.4795,66,72,365,1.0,5.3301,66.0,0.3763,66.0,False,False
1,1003,XXL,82,124.0904,140,106,365,0.2247,0.6608,365.0,0.0235,365.0,False,True
1,1004,L,376,68.9205,60,59,365,1.0301,5.4556,58.2447,0.4543,58.2447,False,False
1,1004,M,86,126.0219,139,146,365,0.2356,0.6824,365.0,0.0241,365.0,False,True
1,1004,S,88,125.6192,120,108,365,0.2411,0.7005,365.0,0.0705,365.0,False,True
1,1004,XXL,78,125.0,148,119,365,0.2137,0.624,365.0,0.0483,365.0,False,True
1,1005,L,86,123.8356,140,118,365,0.2356,0.6945,365.0,0.0408,365.0,False,True
1,1005,M,380,70.1479,61,72,365,1.0411,5.4171,58.5921,0.379,58.5921,False,False
1,1005,XL,765,4.4082,3,6,365,2.0959,26.0,1.4314,1.0,1.4314,True,False
1,1006,L,374,69.0,81,69,365,1.0247,5.4203,79.0508,0.4067,79.0508,False,False
1,1006,M,357,69.7781,77,55,365,0.9781,5.1162,78.7255,0.4674,78.7255,False,False
1,1006,S,355,69.611,65,74,365,0.9726,5.0998,66.831,0.3487,66.831,False,False
1,1007,M,95,124.6548,144,107,365,0.2603,0.7621,365.0,0.0309,365.0,False,True
1,1007,S,384,69.2247,69,59,365,1.0521,5.5472,65.5859,0.4286,65.5859,False,False
1,1007,XL,364,69.4959,76,59,365,0.9973,5.2377,76.2088,0.323,76.2088,False,False
1,1008,L,717,4.6575,6,9,365,1.9644,26.0,3.0544,1.0,3.0544,True,False
1,1008,S,729,4.6767,7,5,365,1.9973,26.0,3.5048,1.0,3.5048,True,False
1,1008,XL,373,69.2356,84,83,365,1.0219,5.3874,82.1984,0.5107,82.1984,False,False
1,1008,XXL,361,69.3616,72,60,365,0.989,5.2046,72.7978,0.4609,72.7978,False,False
1,1009,L,386,68.7726,62,70,365,1.0575,5.6127,58.6269,0.4331,58.6269,False,False
1,1009,S,367,69.1096,64,61,365,1.0055,5.3104,63.6512,0.4372,63.6512,False,False
1,1009,XL,365,68.3671,61,66,365,1.0,5.3388,61.0,0.5505,61.0,False,False
1,1010,L,728,4.3562,0,4,365,1.9945,26.0,0.0,1.0,0.0,True,False
1,1010,M,690,4.6411,4,10,365,1.8904,26.0,2.1159,1.0,2.1159,True,False
1,1010,S,77,124.8301,108,142,365,0.211,0.6168,365.0,0.0403,365.0,False,True
1,1010,XL,362,68.9507,62,78,365,0.9918,5.2501,62.5138,0.4194,62.5138,False,False
1,1010,XXL,361,69.1068,81,73,365,0.989,5.2238,81.8975,0.3792,81.8975,False,False
1,1011,S,374,69.1041,59,60,365,1.0247,5.4121,57.5802,0.401,57.5802,False,False
1,1011,XL,715,4.5753,2,10,365,1.9589,26.0,1.021,1.0,1.021,True,False
1,1011,XXL,379,69.3425,62,61,365,1.0384,5.4656,59.7098,0.4302,59.7098,False,False
1,1012,L,359,69.4411,82,76,365,0.9836,5.1698,83.3705,0.4452,83.3705,False,False
1,1012,M,352,69.3507,70,79,365,0.9644,5.0757,72.5852,0.4943,72.5852,False,False
1,1012,S,76,126.0959,120,146,365,0.2082,0.6027,365.0,0.0826,365.0,False,True
1,1012,XL,342,69.1315,57,73,365,0.937,4.9471,60.8333,0.3407,60.8333,False,False
1,1012,XXL,748,4.5233,3,6,365,2.0493,26.0,1.4639,1.0,1.4639,True,False
1,1013,L,357,69.3342,77,61,365,0.9781,5.149,78.7255,0.2661,78.7255,False,False
1,1013,M,738,4.4055,7,10,365,2.0219,26.0,3.4621,1.0,3.4621,True,False
1,1013,S,752,4.411,4,7,365,2.0603,26.0,1.9415,1.0,1.9415,True,False
1,1013,XL,95,126.211,124,144,365,0.2603,0.7527,365.0,0.0699,365.0,False,True
1,1013,XXL,94,124.1863,107,130,365,0.2575,0.7569,365.0,0.0545,365.0,False,True
1,1014,L,346,69.5425,56,55,365,0.9479,4.9754,59.0751,0.4066,59.0751,False,False
1,1014,M,370,70.3123,73,69,365,1.0137,5.2622,72.0135,0.516,72.0135,False,False
1,1014,XL,359,69.8,79,75,365,0.9836,5.1433,80.3203,0.4312,80.3203,False,False
1,1014,XXL,362,68.8219,71,70,365,0.9918,5.26,71.5884,0.4859,71.5884,False,False
1,1015,L,381,68.8959,55,85,365,1.0438,5.5301,52.6903,0.4541,52.6903,False,False
1,1015,M,705,4.6411,4,3,365,1.9315,26.0,2.0709,1.0,2.0709,True,False
1,1015,S,377,69.5205,62,83,365,1.0329,5.4229,60.0265,0.4423,60.0265,False,False
1,1015,XL,363,70.4603,84,60,365,0.9945,5.1518,84.4628,0.4392,84.4628,False,False
1,1015,XXL,745,4.5205,5,8,365,2.0411,26.0,2.4497,1.0,2.4497,True,False
1,1016,L,373,69.611,83,65,365,1.0219,5.3584,81.2198,0.442,81.2198,False,False
1,1016,S,371,69.8904,68,75,365,1.0164,5.3083,66.9003,0.4724,66.9003,False,False
1,1016,XL,715,4.8027,3,9,365,1.9589,26.0,1.5315,1.0,1.5315,True,False
1,1016,XXL,743,4.3205,7,10,365,2.0356,26.0,3.4388,1.0,3.4388,True,False
1,1017,L,386,68.7315,73,73,365,1.0575,5.6161,69.0285,0.4261,69.0285,False,False
1,1017,M,362,68.8027,54,62,365,0.9918,5.2614,54.4475,0.4501,54.4475,False,False
1,1017,S,88,123.8521,138,110,365,0.2411,0.7105,365.0,0.0769,365.0,False,True
1,1017,XL,382,68.474,82,58,365,1.0466,5.5788,78.3508,0.4165,78.3508,False,False
1,1017,XXL,89,123.7726,103,107,365,0.2438,0.7191,365.0,0.0502,365.0,False,True
1,1018,L,346,69.7041,81,78,365,0.9479,4.9638,85.448,0.4171,85.448,False,False
1,1018,M,78,125.0822,114,121,365,0.2137,0.6236,365.0,0.0486,365.0,False,True
1,1018,S,715,4.4575,4,8,365,1.9589,26.0,2.042,1.0,2.042,True,False
1,1018,XL,732,4.5288,3,5,365,2.0055,26.0,1.4959,1.0,1.4959,True,False
1,1018,XXL,68,124.5808,122,119,365,0.1863,0.5458,365.0,0.0493,365.0,False,True
1,1019,L,91,125.2712,136,134,365,0.2493,0.7264,365.0,0.0809,365.0,False,True
1,1019,M,351,69.0795,80,61,365,0.9616,5.0811,83.1909,0.3961,83.1909,False,False
1,1019,XXL,69,124.0137,137,102,365,0.189,0.5564,365.0,0.0476,365.0,False,True
1,1020,L,344,68.526,74,76,365,0.9425,5.02,78.5174,0.4523,78.5174,False,False
1,1020,M,376,68.8082,69,66,365,1.0301,5.4645,66.9814,0.4717,66.9814,False,False
1,1020,S,740,4.5342,6,4,365,2.0274,26.0,2.9595,1.0,2.9595,True,False
1,1020,XL,356,68.8164,61,71,365,0.9753,5.1732,62.5421,0.4328,62.5421,False,False
1,1020,XXL,748,4.4329,3,9,365,2.0493,26.0,1.4639,1.0,1.4639,True,False
1,1021,L,80,124.663,140,143,365,0.2192,0.6417,365.0,0.0486,365.0,False,True
1,1021,M,757,4.4493,5,4,365,2.074,26.0,2.4108,1.0,2.4108,True,False
1,1021,XXL,362,69.3479,71,70,365,0.9918,5.2201,71.5884,0.4505,71.5884,False,False
